timestamp_s,d0_x,d0_y,d0_z,d1_x,d1_y,d1_z,d2_x,d2_y,d2_z,d0_d1_dist_m,d0_d1_rssi_dbm,d0_d1_latency_ms,d0_d2_dist_m,d0_d2_rssi_dbm,d0_d2_latency_ms,d1_d2_dist_m,d1_d2_rssi_dbm,d1_d2_latency_ms
0.000,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,3.000,-44.4,2.000,6.000,-45.2,2.000,3.000,-42.9,2.000
0.502,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,2.996,-44.4,5.130,5.992,-45.2,9.284,2.996,-42.9,8.908
1.004,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,2.996,-44.4,2.000,5.992,-45.2,2.000,2.996,-42.9,2.000
1.505,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,2.996,-44.4,0.710,5.992,-45.2,1.094,2.996,-42.9,0.394
2.006,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,2.996,-44.4,2.000,5.992,-45.2,2.000,2.996,-42.9,2.000
2.507,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,2.996,-44.4,0.528,5.992,-45.2,1.408,2.996,-42.9,0.984
3.008,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,2.996,-44.4,2.000,5.992,-45.2,2.000,2.996,-42.9,2.000
3.509,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,2.996,-44.4,1.209,5.992,-45.2,0.933,2.996,-42.9,0.297
4.010,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,2.996,-44.4,2.000,5.992,-45.2,2.000,2.996,-42.9,2.000
4.511,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,2.996,-44.4,0.351,5.992,-45.2,0.587,2.996,-42.9,0.843
5.012,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,2.996,-44.4,2.000,5.992,-45.2,2.000,2.996,-42.9,2.000
