timestamp_s,drone0_x,drone0_y,drone0_z,drone0_vx,drone0_vy,drone0_vz,drone1_x,drone1_y,drone1_z,drone1_vx,drone1_vy,drone1_vz,drone2_x,drone2_y,drone2_z,drone2_vx,drone2_vy,drone2_vz
0.000,NaN,NaN,NaN,NaN,NaN,NaN,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
2.297,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
2.799,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
3.300,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
3.801,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
4.302,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
4.803,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
5.304,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
5.805,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
6.306,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
6.807,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
7.308,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
7.809,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
8.310,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
8.811,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
9.312,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
9.813,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
10.314,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
10.815,0.000,-2.996,0.190,-0.000,0.000,-0.000,0.000,0.000,0.190,-0.000,-0.000,-0.000,0.000,2.996,0.190,-0.000,0.000,-0.000
